Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
"Since January 29th, I have been processed uninformed. I am subject to a total product block (checking account) after receiving an online transfer. To date, I have no solution and I am unable to access any money...

A fiasco.",Banco Falabella,maps,7.0,Santiago,"Desde el 29 de Enero del Pte. He sido Tramitado  Desinformado, soy objeto de Bloqueo Total de Producto ( Cuenta Corriente) tras recibir una Transferencia en Linea.
A la fecha,  no Tengo solución alguna y me veo Imposibilitado de acceder a $$$ ...

Un Fiasco.",NEGATIVE,0.0001003827710519,0.997767210006714,0.0021274557802826,4.953804364049574e-06,0.1164110661193199,2024-03-05,Other,5,Other,Banking,Poor,March,3,2024,Other,451,0.1164110661193199
"""Pucon"" does not have a direct translation in English. It is a proper noun and refers to a city in Chile known for its beautiful natural landscapes and outdoor activities.",Banco Falabella,maps,7.0,Pucón,Pucon,NEUTRAL,0.1048416942358017,0.1786252409219741,0.7082921266555786,0.008240956813097,45.8987757563591,2023-06-14,Environment,0,Environmental,Banking,Poor,June,6,2023,Environmental,138,45.8987757563591
"Today's experience was horrible, apparently they hired external staff, something like an alliance... that's what the rude woman's sweater said who went to check in a rude manner why she needed more time at the self-service ATM, by the way, the woman was more concerned about eating than attending. Before that, the security guard went to tell a foreign man who was with a 3-year-old child that he didn't want to see the little boy playing, he wanted him glued to him. Then the man needed help at the ATM and the same security guard rudely told him not to move, that the lady was coming over there.",Banco Falabella,maps,7.0,Santiago,"La experiencia de hoy fue horrible ,al parecer contrataron personal externo ,algo asi como alianza ... ,eso decía el poleron de la mujer mal educada que de mala manera fue a ver porque necesitaba más tiempo en el cajero de autoatencion por cierto la mujer estaba más preocupada de comer que de atender antes de eso el guardia fue a decirle a un hombre extranjero que andaba con un niño de unos 3 años ,que no quería ver al niñito jugando  lo quería pegado a él, después el hombre necesitaba ayuda en el cajero y el mismo guardia de mala manera le dijo que no se moviera que la señorita iba para allá.",NEGATIVE,0.0019739973358809,0.9614171385765076,0.0343047231435775,0.002304061781615,1.9126358907669696,2023-11-14,Human Capital,2,Social Internal,Banking,Poor,November,11,2023,Social Internal,451,1.9126358907669696
"Tidy store, comfortable aisles. Wide variety of clothing products. NO DEALS...",Banco Falabella,maps,7.0,Pucón,"Tienda ordenada, cómodos pasillos. Gran variedad de productos de vestir. NADA DE OFERTAS...",POSITIVE,0.9758601188659668,0.0012940898304805,0.0227784905582666,6.727877917001024e-05,98.72493641451,2024-05-29,Business Model and Innovation,3,Other,Banking,Poor,May,5,2024,Other,344,98.72493641451
"Branch with two hosts at the entrance and they are just standing there. I understand and comprehend that the attention system automatically assigns attention to each representative, but I find it ridiculous to wait approximately two hours for service. The branch needs to improve and train the hosts who may be able to resolve questions more effectively. And if the situation calls for a representative, they should guide the user to take a number. Even the guard details more help to the clients than the hosts.",Banco Falabella,maps,7.0,San Pedro de la Paz,"Sucursal con dos anfitriones en acceso y solo están hay parados. Comprendo y entiendo que el sistema de atención arroja de forma automática la atención a cada ejecutivo, pero encuentro rixulo estar esperando aprox dos hrs por una atención. Sucursal mejorar y capacitar a anfitriones que quizás pueden resolver dudas de forma más efectiva. Y si la situación amerita un ejecutivo hacer pasar al usuario a sacar número. Detalle hasta el guarda apoya más a los clientes que los anfitriones.",NEGATIVE,0.0121982572600245,0.8329273462295532,0.013404494151473,0.141469806432724,1.8900504335761,2023-10-30,Social Capital,1,Social External,Banking,Poor,October,10,2023,Social External,451,1.8900504335761
"I take the time to write because of the poor job done by the person working in the standardization department at the Falabella bank in Concepción. On October 19, 2023, the Falabella company loses money because when customers go to pay their bills, he does not want to work after 5:00 p.m. He mistreats customers so that they leave and does not seek to provide a solution to someone who consumes and wants to continue consuming at Falabella.",Banco Falabella,maps,7.0,Concepción,"Me tomo el momento de escribir, ya q por el mal trabajo del señor q atiende en el departamento de normalización en el banco de Falabella de Concepción, al día 19 de octubre de 2023 la empresa de Falabella pierde dinero ya q cuando los clientes van a pagar sus facturas él a las 17 horas ya no quiere trabajar. Trata mal a los clientes para q se vayan y no busca brindar una solución a una persona q consume y quiere seguir consumiendo en Falabella.",NEGATIVE,0.0003183794324286,0.9892156720161438,0.0104466844350099,1.928539131768048e-05,0.5541721649933601,2023-10-20,Other,5,Social External,Banking,Poor,October,10,2023,Social External,451,0.5541721649933601
"Terrible service, I wasn't attended to by anyone and I am a senior citizen and I don't know about technology. No one could help me, I had to wait for about 1 hour, and I am a long-time customer. I left disappointed due to the lack of attention I received. Being an international store, they don't have staff to provide assistance.",Banco Falabella,maps,7.0,La Serena,"Pesimo servicio ,no fui atendida por nadie y soy tercera edad y yo no se de tecnologia ,nadie me pudo ayudar tuve que esperar como 1 hora ,y soy clienta antigua y me vine desilucionada por la antencion que no me dieron ,siendo una tienda internacional no tienen personal para otorgar ayuda.",NEGATIVE,8.83384418557398e-05,0.9997159838676452,0.0001470270799472,4.869629265158437e-05,0.01618519818293,2023-12-17,Human Capital,2,Social Internal,Banking,Poor,December,12,2023,Social Internal,451,0.01618519818293
"""A safe place to deposit and the service is very good.""",Banco Falabella,maps,7.0,Santiago,Un lugar seguro para depositar y la atención es muy buena,POSITIVE,0.9970985651016236,0.0001717822888167,0.0027060427237302,2.360809412493836e-05,99.84515864634886,2023-07-12,Social Capital,1,Social External,Banking,Poor,July,7,2023,Social External,344,99.84515864634886
They are not serious at all about the opening hours.,Banco Falabella,maps,7.0,Iquique,"No son nada serio con el horario de atención ,",NEGATIVE,0.0205529294908046,0.8755843639373779,0.08853629976511,0.0153263974934816,6.48210793733596,2024-04-13,Other,5,Other,Banking,Poor,April,4,2024,Other,451,6.48210793733596
It's a lie that he works on Saturdays.,Banco Falabella,maps,7.0,San Pedro de la Paz,Es mentira que atiende los días sabados,NEGATIVE,0.0127113861963152,0.82731693983078,0.138501226902008,0.0214704144746065,8.19619996473193,2024-04-06,Other,5,Other,Banking,Poor,April,4,2024,Other,451,8.19619996473193
"There is no branch here, at the address there is a sign that says ""space for rent.""",Banco Falabella,maps,7.0,Arica,"No hay sucursal acá, en la dirección hay un letrero que dice ""local en arriendo""",NEUTRAL,0.0216700136661529,0.3788314163684845,0.5940778255462646,0.0054207826033234,31.870892643928528,2023-09-01,Other,5,Other,Banking,Poor,September,9,2023,Other,138,31.870892643928528
"They start talking on the phone, they are terrible slow to attend, only 3 executives, I don't think the system is slow... but they take forever!!!!",Banco Falabella,maps,7.0,Santiago,"Se ponen hablar por telefono, som terrible lentos para atender, solo 3 ejecutivos, no creo q el sistema sea el lento… pero se demoran caleta !!!!",NEGATIVE,0.0066212192177772,0.8939529061317444,0.0013452104758471,0.0980806723237037,0.72938244557008,2024-02-21,Other,5,Other,Banking,Poor,February,2,2024,Other,451,0.72938244557008
"Good attention and speed, also there are some very comfortable seats while waiting.",Banco Falabella,maps,7.0,San Pedro de la Paz,"Buena atención y rapidez, además en la espera hay unos asientos muy  comodos",POSITIVE,0.9993491768836976,4.004980291938409e-05,0.000585597474128,2.5243487471016124e-05,99.96419756207617,2023-06-28,Other,5,Other,Banking,Poor,June,6,2023,Other,344,99.96419756207617
"Good attention and speed, also there are very comfortable seats in the waiting area.",Banco Falabella,maps,7.0,Lota,"Buena atención y rapidez, además en la espera hay unos asientos muy  comodos",POSITIVE,0.9994220733642578,3.384844967513345e-05,0.0005214604316279,2.2652222469332628e-05,99.96828035800718,2023-06-28,Other,5,Other,Banking,Poor,June,6,2023,Other,344,99.96828035800718
You will obtain everything necessary for the family and the home.,Banco Falabella,maps,7.0,La Serena,Conseguirás todo lo necesario para la familia y el hogar.,POSITIVE,0.7749937772750854,0.0012949147494509,0.2235711216926574,0.0001402179041178,88.67793381214142,2024-05-26,Other,5,Other,Banking,Poor,May,5,2024,Other,344,88.67793381214142
"Terrible, starting with the executive who processes card entries, password changes, configurations, etc., in plain view of everyone who enters or is waiting to be assisted, many elderly people who are asked to write their password on a piece of paper to then enter it into the app.
P.S.: During the time I was there, I saw 3 passwords of older people that arrived, and the executive who was helping them did everything in plain view and within earshot of everyone.",Banco Falabella,maps,7.0,Coronel,"Pésimo, partiendo por la ejecutiva que hace ingreso de tarjetas, cambios de claves configuraciones etc etc, a vista de todos los los que ingresan o están esperando ser atendidos, mucha gente de edad que le hace escribir sus contraseña en un papel para luego ingresarla a la app,
Pd: en el rato que estuve pude ver 3 contraseñas de personas de 3edad que llegaron y la ejecutiva que ayuda le hacía todo a vista y escucha de todos",NEGATIVE,0.0002452147891744,0.9981252551078796,0.001601438387297,2.8064574507880025e-05,0.1045933982823,2023-07-21,Other,5,Other,Banking,Poor,July,7,2023,Other,451,0.1045933982823
Very good prices and service,Banco Falabella,maps,7.0,La Serena,Muy buenos precios y atención,POSITIVE,0.9998602867126464,3.395908061065711e-05,5.910471372772008e-05,4.661218554247171e-05,99.98898390695103,2024-02-27,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,344,99.98898390695103
"The executives' attention is too slow, there is a lack of staff.",Banco Falabella,maps,7.0,Antofagasta,"Demasiada lenta la atención de ejecutivos, falta personal",NEGATIVE,0.0001644230214878,0.9768787026405334,0.0226304288953542,0.0003263617691118,1.1479637469165,2024-02-08,Human Capital,2,Social Internal,Banking,Poor,February,2,2024,Social Internal,451,1.1479637469165
"Terrible customer service from the cashier and external guard, branch manager is not available to file a complaint. Solution at Plaza Sur branch where the service is much better.",Banco Falabella,maps,7.0,Buin,"Pésima atención del cajero y guardia externo,jefa de sucursal no se encuentra para reclamar.
Solución en sucursal de plaza sur donde la atención es bastante mejor.",NEGATIVE,0.0026717814616858,0.991530179977417,0.0024746505077928,0.0033234180882573,0.39091067155823,2024-02-23,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,0.39091067155823
Quick attention,Banco Falabella,maps,7.0,La Serena,Rápida atencion,POSITIVE,0.9656450748443604,0.0075373314321041,0.0267974194139242,2.0154184312559664e-05,97.90437845513225,2024-03-09,Other,5,Other,Banking,Poor,March,3,2024,Other,344,97.90437845513225
"Branch with low customer service standards, executives who leave in groups to the private area worried about having a coffee, slow service for elderly people and others, and an unfriendly bench.",Banco Falabella,maps,7.0,Santiago,"Sucursal de bajo estándar de atención a clientes, ejecutivos que se van en grupo al recinto privado preocupados de tomar un café, lentitud de atención a personas tercera edad y otros, una banca poco amigable.",NEGATIVE,0.0138758132234215,0.5368955731391907,0.4057265520095825,0.043502002954483,21.67390892282128,2023-12-15,Social Capital,1,Social External,Banking,Poor,December,12,2023,Social External,451,21.67390892282128
"Waiting times are too long, the service is very slow, and it takes hours for just 1 person, in addition to chatting and socializing with some customers.",Banco Falabella,maps,7.0,Santiago,"Tiempo de esperas demasiado largos, muy lenta la atención y por solo 1 persona se demoran horas, además de ponerse a conversar y hacer vida social con algunos clientes.",NEGATIVE,0.0002951674396172,0.9990973472595216,0.0003538983874022,0.0002536512038204,0.04721166333183,2023-10-24,Social Capital,1,Social External,Banking,Poor,October,10,2023,Social External,451,0.04721166333183
Long wait time,Banco Falabella,maps,7.0,Santiago,Mucho tiempo de espera,NEGATIVE,0.1403158903121948,0.4591149687767029,0.2121881991624832,0.1883809715509414,24.64099898934364,2024-01-17,Other,5,Other,Banking,Poor,January,1,2024,Other,451,24.64099898934364
"Doing Christmas shopping, ensuring a Christmas outfit for a girl. 10/10",Banco Falabella,maps,7.0,La Serena,Realizando compras navideñas asegurando outfit navideño para niña. 10/10,POSITIVE,0.7637268304824829,0.0072346688248217,0.2284716069698333,0.0005668992525897,87.79626339673996,2023-12-24,Other,5,Other,Banking,Poor,December,12,2023,Other,344,87.79626339673996
"Good attention and quick service, also there are some very comfortable seats in the waiting area.",Banco Falabella,maps,7.0,Arauco,"Buena atención y rapidez, además en la espera hay unos asientos muy  comodos",POSITIVE,0.9995335340499878,3.325830402900465e-05,0.0004128662985749,2.041031439148356e-05,99.97399671992753,2023-06-28,Social Capital,1,Social External,Banking,Poor,June,6,2023,Social External,344,99.97399671992753
"The security guard was very helpful and attentive with people, and the employees were very friendly and any doubts were resolved for any procedure very kindly by the person who attended me, Maria José, very kind.",Banco Falabella,maps,7.0,Santiago,"Muy servicial el seguridad y muy atento con las personas, y los empleados muy amables y cualquier duda no las soluciona para cualquier procedimiento muy amable por lo personal que me atendió maría José muy amable..",POSITIVE,0.9955322742462158,4.852252459386364e-05,0.0043353061191737,8.391196024604142e-05,99.76999273058028,2023-10-07,Leadership and Governance,4,Social Internal,Banking,Poor,October,10,2023,Social Internal,344,99.76999273058028
It should improve the lack of willingness and arrogant attitude of some salespeople.,Banco Falabella,maps,7.0,La Serena,Debería mejorar la poca disposición y actitud prepotente de algunos vendedores.,NEGATIVE,0.0192609913647174,0.4979116320610046,0.0571245402097702,0.425702840089798,4.7823261469602505,2024-06-13,Other,5,Other,Banking,Poor,June,6,2024,Other,451,4.7823261469602505
On the internet it says that it's open but in reality it's closed.,Banco Falabella,maps,7.0,Antofagasta,En Internet dice que está abierto pero en realidad está cerrado,NEGATIVE,0.0075460691004991,0.7936689853668213,0.1963832825422287,0.0024017074611037,10.57377103716135,2023-06-27,Other,5,Other,Banking,Poor,June,6,2023,Other,451,10.57377103716135
Excellent place,Banco Falabella,maps,7.0,Los Ángeles,Excelente lugar,POSITIVE,0.9997970461845398,3.511763134156354e-05,0.0001506074768258,1.720572981867008e-05,99.98723499229528,2023-11-27,Other,5,Other,Banking,Poor,November,11,2023,Other,344,99.98723499229528
"Since yesterday trying to get a response on WhatsApp, and nothing.
I called the agency by phone and they told me they can't do anything, I am abroad and without help.",Banco Falabella,maps,7.0,Chillán,"Desde ayer tentando que me respondan por WhatsApp, y nada
Llamé a la agencia por teléfono y me dijeron que no pueden hacer nada, estoy en el extranjero y sin ayuda.",NEGATIVE,0.0002713637077249,0.9960860013961792,0.0035926869604736,4.9966402002610266e-05,0.2067707187961699,2024-06-18,Other,5,Other,Banking,Poor,June,6,2024,Other,451,0.2067707187961699
"Good service, a bit small but it does the job.",Banco Falabella,maps,7.0,San Antonio,"Buena atención, un poco pequeño pero cumple su función",MIXED,0.0398571416735649,6.341908738249913e-05,0.0001453292497899,0.9599341154098512,3.99298062984598,2024-04-03,Social Capital,1,Social External,Banking,Poor,April,4,2024,Social External,67,3.99298062984598
"The service of both the debit and credit card is very good, the online service as well. It's a shame that when you have to go to have your card changed, it takes an eternity, I've gone twice and waited two hours each time without managing to get assistance.",Banco Falabella,maps,7.0,Curicó,"El servicio de la tarjeta tanto de débito como de crédito muy bueno, el servicio on líne también, lástima que usará ir a que te cambien la tarjeta se demoran una eternidad, he ido dos veces y he esperado dos horas y no he logrado que me atiendan",MIXED,0.0563045181334018,0.0375813767313957,0.0006700725643895,0.9054439663887024,5.6639554415596605,2023-08-23,Human Capital,2,Social External,Banking,Poor,August,8,2023,Social External,67,5.6639554415596605
"Terrible, starting with the executive who processes card entries, password changes, configurations, etc., in plain view of everyone who enters or is waiting to be assisted, many elderly people who are asked to write down their passwords on a piece of paper to then enter them into the app. 
P.S.: During the time I was there, I was able to see 3 passwords from 3 elderly people who arrived, and the executive who was helping them did everything in plain view and hearing of everyone.",Banco Falabella,maps,7.0,Arauco,"Pésimo, partiendo por la ejecutiva que hace ingreso de tarjetas, cambios de claves configuraciones etc etc, a vista de todos los los que ingresan o están esperando ser atendidos, mucha gente de edad que le hace escribir sus contraseña en un papel para luego ingresarla a la app,
Pd: en el rato que estuve pude ver 3 contraseñas de personas de 3edad que llegaron y la ejecutiva que ayuda le hacía todo a vista y escucha de todos",NEGATIVE,0.0003818543045781,0.9970566034317015,0.0024623128119856,9.924582991516218e-05,0.16130107105709,2023-07-21,Other,5,Other,Banking,Poor,July,7,2023,Other,451,0.16130107105709
"""I went with my father to ask for information about his debt and if he had any previous refinancing, where I was attended by a young black guy who just gave me a phone number for collections, and who didn't have the information... WASTED TIME!!... and when calling the number... THEY DON'T HAVE THAT INFORMATION EITHER!!""",Banco Falabella,maps,7.0,Santiago,"Fui con mi padre a pedir informacion sobre su deuda y si tenia alguna repactacion anteriormente , donde me atendio un negro chico que se limito a darme un numero de telefono de cobranza , y que no tenia la informacion .. TIEMPO PERDIDO !!.. y al llamar al numero .. TAMPOCO TIENEN ESA INFORMACION !!",NEGATIVE,0.0003842607256956,0.9966134428977966,0.0029954095371067,6.923893124621827e-06,0.1881965494249,2024-04-26,Other,5,Environmental,Banking,Poor,April,4,2024,Environmental,451,0.1881965494249
"Moll Tobalaba square, parking on a platform, there are 3 Falabella banks, Banco de Chile, and Banco del Estado, plus the Falabella store, an excellent place, I invite you to the mall, in our dear commune of Puente Alto.",Banco Falabella,maps,7.0,Santiago,"Moll plaza Tobalaba, estacionamiento en plataforma,se encuentra 3 banco falabella, baco de chile, y banco del estado,más la tienda falabella, excelente lugar lo invito al Moll,en nuestra querida comuna de puente alto",POSITIVE,0.8058478832244873,0.0002903940330725,0.1938332617282867,2.843494621629361e-05,90.27645140886308,2023-08-26,Other,5,Other,Banking,Poor,August,8,2023,Other,344,90.27645140886308
Terrible,Banco Falabella,maps,7.0,Quillota,Pésimo,NEGATIVE,5.340357529348694e-05,0.9997599720954896,0.0001545646227896,3.203473534085788e-05,0.01306858866882,2023-08-09,Other,5,Other,Banking,Poor,August,8,2023,Other,451,0.01306858866882
They never open by themselves.,Banco Falabella,maps,7.0,Colina,De por si nunca abren,NEGATIVE,0.0555383265018463,0.8991159796714783,0.0449634194374084,0.0003823132137767,7.802003622055049,2024-06-09,Other,5,Other,Banking,Poor,June,6,2024,Other,451,7.802003622055049
"Super slow, too slow. A lot of time is really wasted.
Executives dedicating themselves more to other things than solving problems, chatting among themselves, not respecting numbers.",Banco Falabella,maps,7.0,Santiago,"Super lento, demasiado lento.realmente se pierde mucho tiempo.
Ejecutivos dedicándose más a otras cosas que resolver problemas, conversando entre ellos, no respetando números.",NEGATIVE,0.0001017216127365,0.999129593372345,0.0007241370622068,4.4583124690689147e-05,0.046379014384,2024-02-26,Other,5,Environmental,Banking,Poor,February,2,2024,Environmental,451,0.046379014384
"Just to say that it smells good, but the service is awful - waited 2 hours for attention, the algorithm makes people who arrive after you go first, I have the 'E' and all the 'L's go ahead, and mind you, they're not elderly. Every time I come once a year it's the same.",Banco Falabella,maps,7.0,Arauco,"Solo decir que huele bien, pero la atención horrible 2horas esperando atención,el algoritmo hace pasar a gente que llega después de uno,yo tengo la E y pasan todos los L y ojo que no son tercera edad. Siempre que vengo una vez al año es lo mismo",MIXED,0.0054533658549189,0.2308419942855835,0.0038037656340748,0.7599008679389954,0.7355248671956299,2024-02-27,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,67,0.7355248671956299
"Excellent place and good prices, I recommend it.",Banco Falabella,maps,7.0,La Serena,"Excelente lugar y buenos precios, lo recomiendo.",POSITIVE,0.9998466968536376,2.389793189649936e-05,8.035227074287832e-05,4.8915520892478526e-05,99.98868729890091,2024-03-08,Other,5,Environmental,Banking,Poor,March,3,2024,Environmental,344,99.98868729890091
"""It's a lie that he works on Saturdays.""",Banco Falabella,maps,7.0,Curanilahue,Es mentira que atiende los días sabados,NEGATIVE,0.0167875904589891,0.7512674331665039,0.2266228944063186,0.005322091281414,13.00990376621484,2024-04-06,Other,5,Other,Banking,Poor,April,4,2024,Other,451,13.00990376621484
"Third time I come, there is no solution or anything.",Banco Falabella,maps,7.0,Talca,Tercera vez que vengo no hay solución ni nada,NEGATIVE,0.0024629514664411,0.9876829981803894,0.0086897248402237,0.0011644203914329,0.6807813886552999,2023-05-25,Other,5,Other,Banking,Poor,May,5,2023,Other,451,0.6807813886552999
"Terrible service, they don't solve anything and have bad attitudes, I am referring to the boss of the ladies who work there. If she doesn't like solving problems, she shouldn't be there.
Banco Falabella must be one of the worst banks that exist, everything works more or less well until there is a problem and nobody solves it, they pass the buck back and forth while the customer loses a lot of time.
Don't get involved with this bank at all.",Banco Falabella,maps,7.0,San Pedro de la Paz,"Pésima atención, no resuelven nada y colocan malas caras, hablo de la jefa de las señoras que atienden. Si no le gusta resolver problemas no debería estar ahí.
Banco Falabella debe ser de los peores bancos que existen, todo funciona más o menos bien hasta que hay un problema y nadie lo resuelve, se tiran la pelota de un lado a otro mientras el cliente pierde mucho tiempo.
No contraten nada en este banco.",NEGATIVE,0.0002803713432513,0.9989668130874634,0.0006261403905227,0.0001267369079869,0.05934415385127,2023-11-16,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,451,0.05934415385127
"Every year, there are millions of resources stagnant in the financial system without movements, whose holders have passed away or simply forgotten about their existence. These are known as bank credits...",Banco Falabella,news,7.0,Santiago,"Cada año, son millones los recursos empozados en el sistema financiero sin movimientos, cuyos titulares fallecieron o simplemente se olvidaron de su existencia. Son las denominadas acreencias bancari… [+4021 chars]",MIXED,0.0047204955480992,0.0360100381076335,0.1145854294300079,0.8446840643882751,6.20132102631032,2024-06-03,Environment,0,Environmental,Banking,Poor,June,6,2024,Environmental,67,6.20132102631032
"How annoying, I have been a customer for more than 20 years and the security guard looked at me as if I were a criminal just because I was wearing work clothes, there are about 20 service desks and only 4 executives, I waited 2 hours for assistance, very bad.",Banco Falabella,maps,7.0,San Fernando,"Cómo las weas, soy cliente hace más de 20años entre el guardia me miró como si fuera un delincuente solo pq ando con ropa de trabajo, hay como 20 módulos de atención y hay como 4 ejecutivos espere 2 horas para la atención malo malo",NEGATIVE,0.0002378773060627,0.9988611936569214,0.0006126795196905,0.000288192735752,0.0544217065908,2024-02-22,Human Capital,2,Social External,Banking,Poor,February,2,2024,Social External,451,0.0544217065908
