Review,traduccion_nueva,ds,Bank Name,data_source,state,Sentiment_score,Predicted_SASB,Predicted_Pilar,dimension_SSINDEX,dimension_SASB,relevance,relevance_2,Pilar,SASB,Sentiment_gen,year,month,month_num,city
"Un Banco q escoger por sus posibilidades y su eficiencia , es mi preferido para cambios de moneda","A bank to choose for its possibilities and efficiency, it is my favorite for currency exchanges",2023-12-20,Banco Actinver,maps,Ciudad de México,85,Environment,Environmental,ENVIRONMENTAL ACTIONS,ENERGY MANAGEMENT,si,si,Environmental,Environment,POSITIVE,2023.0,December,12.0,Ciudad de México
Pertenezco a una agencia de autos y los ejecutivos van para tramitar el crédito pero la promotora del banco no me pago la comisión se la ROBÓ en todo el sentido de la palabra le marco y no contesta pero para que le mandemos créditos todo el día estaba ahí ojo asesores no tramiten con ellos,I belong to a car agency and the executives go to process the credit but the bank promoter did not pay me the commission. STOLE it in every sense of the word. I marked him and he did not answer but he was there all day so that we could send him credits. Be careful advisors do not process with them,2024-03-15,Banco Actinver,maps,Ciudad de México,20,Business Model and Innovation,Social Internal,WORK-LIFE BALANCE,SUPPLY CHAIN MANAGEMENT,si,si,Social Internal,Business Model and Innovation,NEUTRAL,2024.0,March,3.0,Ciudad de México
"Me parece muy buena su aplicación 🈸 en todos los sentidos 😃, blanca dijital 💯 recomendable 👍...","I think your application is very good 🈸 in every sense 😃, digital white 💯 recommended 👍...",2023-11-27,Banca Mifel,maps,Ciudad de México,90,Business Model and Innovation,Environmental,ENVIRONMENTAL CULTURE,SUPPLY CHAIN MANAGEMENT,no,no,Environmental,Business Model and Innovation,POSITIVE,2023.0,November,11.0,Ciudad de México
"Tengo que borrar y volver a escribir mi opinion para ver si asi me toman en cuenta... Lamentablemente que no se pueden poner mas opiniones PESIMAS de ustedes... para nada profesionales con su servicio y el seguimiento que dan a sus clientes...
llevo mas de 7 meses esperando una respuesta y solución a mi problema y ni el telefono ni los correos se dignan a contestar... afortunados los que recibieron el trato adecuado de esta empresa... pero para los que leen reseñas antes de contratar su servicio... que se fijen bien en lo que se meten...
P E S I M O

Este es mi comentario original... me responen que me comunique a un correo y no contestan:

""Una muy mala experiencia con ustedes, y veo comentarios y lamentablemente no soy la única persona que tiene problemas.
Tiene mas de 6 meses que termino mi arrendamiento... mismos 6 meses que se pago el valor residual y es día que no me pueden dar mi factura y todos los papeles en regla.

A los que tienen la costumbre de leer comentarios antes de adquirir un servicio, NO LO HAGAN CON FINE ABC.

No hay una persona que se haga responsable de llevar el expediente de un cliente, se pasan la bolita entre ellos y
el tiempo pasa y pasa y no se resuelve NADA...!!! ""","I have to delete and rewrite my opinion to see if they take me into account... Unfortunately, you can&#39;t post more TERRIBLE opinions from you... not at all professional with your service and the follow-up you give to your clients. I have been waiting for a response and solution to my problem for more than 7 months and neither the phone nor the emails deign to answer... lucky those who received adequate treatment from this company... but for those who read reviews before hiring your service... they should pay attention to what they are getting into... TERRIBLE This is my original comment... they told me to contact an email and they did not answer: &quot;A very bad experience with you, and I see comments and Unfortunately, I&#39;m not the only person who has problems. My lease has been up for more than 6 months... the same 6 months since the residual value was paid and it&#39;s the day they can&#39;t give me my invoice and all the papers in order. Those who have the habit of reading comments before purchasing a service, DO NOT DO IT WITH FINE ABC. There is no person who is responsible for keeping a client&#39;s file, they pass the ball between them and time passes and passes and NOTHING is resolved...!!! &quot;",,,,,10,,,,,si,si,,,,,,,
"Hemos tenido una pésima experiencia con esta arrendadora, hicimos la compra anticipada de mi unidad dos meses antes de concluir y en vez de liberarla inmediatamente, ya que me comentaron que el trámite era rápido, el trámite ha durado los dos meses que necesitaba y por lo que había hecho esa compra, además de que esos dos meses me volvieron a cobrar renta cuando ya había liquidado
Yo esperaba que me tuvieran el trámite rápidamente porque adquirí otro vehículo y quería hacer el cambio y después de dos meses sigo sin poder hacerlo porque hasta la fecha no me han resuelto, ya estoy pagando renta de mi nuevo vehículo y todavía no me lo pueden entregar porque ABC no me ha liberado todos los papeles que necesito.
Obvio nunca contestan por mensaje, llamada o correo y si contestan se pasan la bolita de departamento en departamento, me han hecho perder tiempo y dinero y nadie se hace responsable
NO LOS RECOMIENDO NADA, espero recuperar mi dinero y de perdido que alguien se haga responsable por hacer muy mal su trabajo.","We have had a terrible experience with this landlord, we made the advance purchase of my unit two months before concluding and instead of releasing it immediately, since they told me that the process was quick, the process has lasted the two months that it needed and therefore that I had made that purchase, in addition to the fact that they charged me rent again for those two months when I had already settled. I hoped that they would have the procedure for me quickly because I purchased another vehicle and wanted to make the change and after two months I still cannot do it because until The date has not been resolved, I am already paying rent for my new vehicle and they still cannot deliver it to me because ABC has not released all the papers I need. Obviously they never answer by message, call or email and if they answer they pass the ball from department to department, they have made me waste time and money and no one is responsible. I DO NOT RECOMMEND THEM AT ALL, I hope to recover my money and if I lose it, someone will take responsibility. for doing his job very poorly.",2024-02-16,Banca Mifel,maps,Ciudad de México,10,Environment,Environmental,ENVIRONMENTAL PROTOCOLS,WASTE & HAZARDOUS MATERIAL MANAGEMENT,no,no,Environmental,Environment,NEGATIVE,2024.0,February,2.0,Ciudad de México
"Tienen el peor servicio de atención a cliente. Para venderte son muy buenos, para cumplirte con entregas de facturas tardan meses, y siempre te mandan con diferentes ejecutivos.
Tengo cuatro facturas que liquide hace más de un año y no las liberan.
RECOMIENDO NO TRABAJEN CON ESTA EMPRESA, se van ahorrar dolores de cabeza.","They have the worst customer service. They are very good at selling you, it takes months to deliver invoices to you, and they always send you to different executives. I have four invoices that I settled more than a year ago and they are not released. I RECOMMEND NOT WORKING WITH THIS COMPANY, you will save yourself headaches.",2023-11-27,Banca Mifel,maps,Ciudad de México,10,Social Capital,Environmental,ENVIRONMENTAL PROTOCOLS,CUSTOMER WELFARE,si,si,Environmental,Social Capital,NEGATIVE,2023.0,November,11.0,Ciudad de México
"Peso servicio para finalizar contratos, muy burocráticos y te quieren cobrar por todo al final y tardan siglos en liberarte tramites.","Weighty service to finalize contracts, very bureaucratic and they want to charge you for everything at the end and it takes ages to free you from procedures.",2023-11-27,Banca Mifel,maps,Ciudad de México,20,Social Capital,Social External,OPERATION (CONTRACT),CUSTOMER WELFARE,no,si,Social External,Social Capital,POSITIVE,2023.0,November,11.0,Ciudad de México
"Pésimo servicio, deficiente atención a clientes del área de terminaciones.","Terrible service, poor customer service in the finishing area.",2023-09-20,Banca Mifel,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2023.0,September,9.0,Ciudad de México
I often stay at inexpensive hotels. This hotel is terrible! It was dirty (see the towel I used to wipe the inside of the shower). There was lots of noise from both the lobby and the traffic. There was no bottled water in the room. There were no hand or face towels... just two bath towels that are as rough as sand paper.,I often stay at inexpensive hotels. This hotel is terrible! It was dirty (see the towel I used to wipe the inside of the shower). There was lots of noise from both the lobby and the traffic. There was no bottled water in the room. There were no hand or face towels... just two bath towels that are as rough as sand paper.,2023-08-27,Banca Mifel,maps,Puebla,20,Environment,Environmental,ENVIRONMENTAL CULTURE,WATER & WASTEWATER MANAGEMENT,no,no,Environmental,Environment,POSITIVE,2023.0,August,8.0,Puebla
"Good breakfast, friendly staff. Good service.","Good breakfast, friendly staff. Good service.",2023-07-15,Banca Mifel,maps,Puebla,90,Human Capital,Social Internal,LOYALTY (RETENTION),EMPLOYEE HEALTH & SAFETY,no,no,Social Internal,Human Capital,NEGATIVE,2023.0,July,7.0,Puebla
El lugar se llena muy rápido solo falta más variedad en el desayuno. Y me tocó una recamara sin regadera y la coladera tapada. El servicio de internet (wifi) nunca sirvió.,"The place fills up very quickly, the only thing missing is more variety at breakfast. And I had a bedroom without a shower and the drain covered. The internet service (wifi) never worked.",2024-07-11,Banca Mifel,maps,Puebla,20,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2024.0,July,7.0,Puebla
"Excelente !!!!
Ofrece todo lo que uno busca en un Hotel, buen precio, desayuno incluido (muy rico y de buena calidad), habitaciones limpias, cómodas para descansar, trato amable, y sin problemas de facturación.
La mejor opción comparado con hoteles de los alrededores y del centro de la Ciudad.","Excellent !!!! It offers everything one looks for in a Hotel, good price, breakfast included (very rich and of good quality), clean rooms, comfortable to rest in, friendly treatment, and no billing problems. The best option compared to hotels in the surrounding area and in the city center.",2023-11-30,Banca Mifel,maps,Nuevo León,95,Social Capital,Social External,QUALITY,CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2023.0,November,11.0,Monterrey
Excelente servicio. Las instalaciones son buenas y las habitaciones muy cómodas. El desayuno de cortesía es un gran plus estaba todo muy rico y bastante completo. Altamente recomendado 👍🏻,"Excellent service. The facilities are good and the rooms are very comfortable. The complimentary breakfast is a big plus, everything was very delicious and quite complete. Highly recommended 👍🏻",2023-06-21,Banca Mifel,maps,Nuevo León,95,Social Capital,Environmental,ENVIRONMENTAL PROTOCOLS,CUSTOMER WELFARE,no,no,Environmental,Social Capital,MIXED,2023.0,June,6.0,Monterrey
"Muy buen lugar para llegar y descansar, las habitaciones están muy bien, y el personal de servicio me atendió de lo mejor, lo único que no me gustó del todo fue dejar un depósito por posibles daños, pero entiendo el porqué, además, la habitación incluye desayuno y hay buenas opciones, sin duda volvería.","Very good place to arrive and rest, the rooms are very good, and the service staff took great care of me, the only thing I didn&#39;t like at all was leaving a deposit for possible damages, but I understand why, also, the room It includes breakfast and there are good options, I would definitely return.",2023-11-27,Banca Mifel,maps,Chihuahua,85,Human Capital,Social Internal,WORK-LIFE BALANCE,EMPLOYEE HEALTH & SAFETY,no,no,Social Internal,Human Capital,POSITIVE,2023.0,November,11.0,Juárez
"El lugar cuesta lo mismo que el One o el City Expres, pero el completamente diferente, el control de la tv y el A/C están pegados al mueble y la pared (como motel de paso) y después de pagar $1,100 por la habitación,  debes dejar $100 pesos como depósito para que te den llave de la habitación!!!!
Eso es increíble, pagas y si no dejas los $100 no te dan llave de la habitación.
NADA RECOMENDABLE!!!","The place costs the same as the One or the City Expres, but it is completely different, the TV control and A/C are attached to the furniture and the wall (like a motel in transit) and after paying $1,100 for the room, You must leave $100 pesos as a deposit to give you a room key!!!! That&#39;s incredible, you pay and if you don&#39;t leave the $100 they don&#39;t give you a key to the room. NOTHING RECOMMENDED!!!",2023-08-15,Banca Mifel,maps,Chihuahua,15,Leadership and Governance,Environmental,ENVIRONMENTAL CULTURE,SYSTEMIC RISK MANAGEMENT,no,no,Environmental,Leadership and Governance,POSITIVE,2023.0,August,8.0,Juárez
"Pésimo servicio, reservé con antelación y el día de mi reservación me encuentro con que ya habían ocupado mi habitación y no se molestaron en solucionarme o reembolsar. No se en donde me voy a hospedar. PÉSIMO. NUNCA RESERVEN EN ESTE ESTABLECIMIENTO.","Terrible service, I booked in advance and on the day of my reservation I found that they had already occupied my room and they did not bother to solve or refund me. I don&#39;t know where I&#39;m going to stay. APPALLING. NEVER BOOK AT THIS ESTABLISHMENT.",2023-08-28,Banca Mifel,maps,Chihuahua,5,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2023.0,August,8.0,Juárez
"NUNCA VAYAN. El servicio es FATAL, NO respetaron reservación de habitaciones PAGADAS desde hace mucho tiempo de antelación, además una pésima atención y actitud por parte de sus empleados. Evítense una PÉSIMA experiencia","NEVER GO. The service is FATAL, they did NOT respect reservations for rooms PAID for a long time in advance, as well as terrible attention and attitude on the part of their employees. Avoid a TERRIBLE experience",2023-12-01,Banca Mifel,maps,Chihuahua,10,Social Capital,Social Internal,WORK-LIFE BALANCE,CUSTOMER WELFARE,no,no,Social Internal,Social Capital,NEGATIVE,2023.0,December,12.0,Juárez
"Muy buena opción si  buscas buena calidad a  precio razonable.
Desayuno, habitaciones, facturación, las instalaciones son nuevas a comparación con los hoteles del centro de la ciudad","Very good option if you are looking for good quality at a reasonable price. Breakfast, rooms, billing, facilities are new compared to city center hotels",2023-11-27,Banca Mifel,maps,Chihuahua,85,Social Capital,Social External,PRICE/QUALITY RATIO,CUSTOMER WELFARE,no,no,Social External,Social Capital,NEGATIVE,2023.0,November,11.0,Juárez
Reserve con un mes de anticipación una habitación para mi hermano (cabe aclarar que pague las tres noches por adelantado) cuando llegamos nos dijeron que el hotel estaba lleno y la recepcionista se porto muy grosera y me dijo no puedo hacer nada... Pésimo servicio,I booked a room a month in advance for my brother (it should be noted that I paid for the three nights in advance) when we arrived they told us that the hotel was full and the receptionist was very rude and told me I can&#39;t do anything... Terrible service,2024-02-23,Banca Mifel,maps,Yucatán,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2024.0,February,2.0,Mérida
"Me encantó!!! Las habitaciones muy amplias y limpias, el personal muy atento, el desayuno muy completo, lo recomiendo ampliamente","I loved!!! The rooms are very spacious and clean, the staff is very attentive, the breakfast is very complete, I highly recommend it.",2023-05-11,Banca Mifel,maps,Guanajuato,95,Human Capital,Environmental,ENVIRONMENTAL CULTURE,LABOR PRACTICES,no,no,Environmental,Human Capital,POSITIVE,2023.0,May,5.0,León
"Excelentes instalaciones, personal muy amable, desayuno muy completo super limpio, cómodas sus habitaciones, super recomendable.","Excellent facilities, very friendly staff, very complete breakfast, super clean, comfortable rooms, highly recommended.",2023-09-21,Banca Mifel,maps,Jalisco,100,Human Capital,Environmental,ENVIRONMENTAL PROTOCOLS,EMPLOYEE HEALTH & SAFETY,no,no,Environmental,Human Capital,NEGATIVE,2023.0,September,9.0,Guadalajara
"Muy buen servicio, las habitaciones muy limpias y buena ubicación, fácil de llegar","Very good service, very clean rooms and good location, easy to get to",2024-05-30,Banca Mifel,maps,Querétaro,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,MIXED,2024.0,May,5.0,Querétaro
"No respetan las reservas aún estando pagadas con antelación, y el personal grosero y prepotente, pésima actitud de servicio. No lo recomiendo","They do not respect reservations even if they have been paid in advance, and the staff is rude and arrogant, with a terrible service attitude. I do not recommend it",2023-11-01,Banca Mifel,maps,Querétaro,10,Human Capital,Environmental,ENVIRONMENTAL CULTURE,LABOR PRACTICES,si,si,Environmental,Human Capital,POSITIVE,2023.0,November,11.0,Querétaro
"Excelente servicio, ampliamente recomendable, habitaciones limpias y amplias todo lo que esperaba.","Excellent service, widely recommended, clean and spacious rooms, everything I expected.",2024-07-11,Banca Mifel,maps,Durango,95,Social Capital,Environmental,ENVIRONMENTAL PROTOCOLS,PRODUCT QUALITY & SAFETY,no,no,Environmental,Social Capital,NEGATIVE,2024.0,July,7.0,Durango
"Excelente ubicación, personal muy amable y habitaciones muy cómodas","Excellent location, very friendly staff and very comfortable rooms",2024-04-15,Banca Mifel,maps,Querétaro,90,Human Capital,Social Internal,WORK-LIFE BALANCE,EMPLOYEE HEALTH & SAFETY,no,no,Social Internal,Human Capital,NEGATIVE,2024.0,April,4.0,Querétaro
"Excelente servicio por parte del personal
Excelente habitaciones
Volvería a regresar",Excellent service from the staff Excellent rooms I would return again,2024-04-17,Banca Mifel,maps,Quintana Roo,95,Human Capital,Social Internal,LOYALTY (RETENTION),LABOR PRACTICES,no,no,Social Internal,Human Capital,POSITIVE,2024.0,April,4.0,Cancún
"Pésimo servicio no respetan las reservaciones y todavía se enojan si los calificas mal, los empleados muy groseros, mejor busquen otra opción","Terrible service, they do not respect reservations and they still get angry if you rate them poorly, the employees are very rude, better look for another option",2024-04-17,Banca Mifel,maps,Quintana Roo,15,Social Capital,Social Internal,WORK-LIFE BALANCE,CUSTOMER WELFARE,no,si,Social Internal,Social Capital,NEGATIVE,2024.0,April,4.0,Cancún
"Excelente lugar muy limpio excelente servicio acogedor
En mi opinión hace falta una sala de estar que no esté a lada de la recepciónista de allí en fuera muy bien lugar con estacionamiento limpio y amplio","Excellent place, very clean, excellent welcoming service. In my opinion, there is a need for a living room that is not next to the receptionist, outside, very good place with clean and ample parking.",2023-11-04,Banca Mifel,maps,Ciudad de México,85,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,MIXED,2023.0,November,11.0,Ciudad de México
Por el precio que pagamos la verdad el servicio y la estancia fueron espectacular!,"For the price we paid, the service and stay were truly spectacular!",2024-05-14,Banco Bancrea,maps,Ciudad de México,90,Social Capital,Social External,PRICE/QUALITY RATIO,CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2024.0,May,5.0,Ciudad de México
"La habitaciones es amplia, el internet es deficiente, las personas que atienden no son groseras pero tampoco amables. El desayunos, es incómodo que estés desayunando y todo los empleados pasando a la cocina llevando los productos para la cocina y pidiendo sus desayunos para ir a comer a la sala de juntas.","The rooms are spacious, the internet is poor, the people who serve are not rude but not friendly either. At breakfast, it is uncomfortable that you are having breakfast and all the employees go to the kitchen carrying the products for the kitchen and ordering their breakfasts to go eat in the meeting room.",2024-05-14,Banco Bancrea,maps,Ciudad de México,40,Business Model and Innovation,Social Internal,WORK-LIFE BALANCE,SUPPLY CHAIN MANAGEMENT,no,no,Social Internal,Business Model and Innovation,MIXED,2024.0,May,5.0,Ciudad de México
"Pésima atención de recepción, tenía reservación pero mejor la cancele y me fui","Terrible reception service, I had a reservation but it was better to cancel it and leave",2024-05-14,Banco Bancrea,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2024.0,May,5.0,Ciudad de México
"Muy buena opción para hospedarse, instalaciones y habitaciones espaciosas y limpias. Excelente servicio de todo el personal. Gracias!!","Very good option to stay, spacious and clean facilities and rooms. Excellent service from all staff. Thank you!!",2024-05-14,Banco Bancrea,maps,Ciudad de México,95,Human Capital,Social Internal,WORK-LIFE BALANCE,EMPLOYEE HEALTH & SAFETY,no,no,Social Internal,Human Capital,NEGATIVE,2024.0,May,5.0,Ciudad de México
"Excelente servicio, habitaciones muy limpias y cómodas. Muy recomendable.","Excellent service, very clean and comfortable rooms. Highly recommended.",2024-03-15,Banco Bancrea,maps,San Luis Potosí,95,Social Capital,Environmental,ENVIRONMENTAL PROTOCOLS,PRODUCT QUALITY & SAFETY,no,no,Environmental,Social Capital,NEGATIVE,2024.0,March,3.0,San Luis Potosí
