"Review","DS","Bank Name","data_source","Bank ID","state","Pilar","Predicted_Pilar","SASB","Predicted_SASB","dimension_SASB","dimension_SASB.1","dimension_SSINDEX","Sentiment_score","response_text","relevance","Sentiment_gen","spam","Industry"
"Not sure about the hybrid carrier thing... Icelandair delivers a hybrid, almost low cost service while being at least as expensive as full service carriers like Air France. From Paris Icelandair is one of the most expensive options to fly to the US or Canada while delivering a quite poor experience compared to Air France for exemple (no free meal, not so great IFE, non alcoholic beverages only, narrow bodies and stop in Iceland)",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",25,"PuntuaciÃ³n=25","si","NEGATIVE","no","Aviation & Aerospace."
"Flew Icelandair on the 737 Max last month. 3 out of my 4 flights were good, no complaints. Sadly, the 4th one (the longest too from Iceland to the US) was painful because of an obese woman seated next to me. Had it been another airline, Iâ€™d bet that woman would have been told to buy 2 seats. The flight was full, so I was stuck in that cramped seat. That ruined icelandair for me.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",40,"PuntuaciÃ³n=40","si","NEUTRAL","no","Aviation & Aerospace."
"Look at a good flight, with IFE and good on-board service, now comes that GOL flight from Brasilia-Orlando, which I think is even a little longer, without IFE and GOL sometimes has bad on-board services, so imagine. I'm Brazilian and most people complain about GOL.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","HUMAN RIGHTS & COMMUNITY RELATIONS","HUMAN RIGHTS & COMMUNITY RELATIONS","COMPLAINTS",35,"PuntuaciÃ³n=35","si","NEGATIVE","no","Aviation & Aerospace."
"I have flown a 10 hour non-stop sector on a 707 and that was fine. It is not the aircraft type but the configuration especially seat pitch and seat comfort and standard of service (and these days the quality of the IFE) which matter, not the fact that the aircraft is a narrow body as opposed to a wide body.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","CUSTOMER MANAGEMENT (QUALITY)",75,"PuntuaciÃ³n=75","si","POSITIVE","no","Aviation & Aerospace."
"Hi Simply Aviation, thanks for this great and interesting trip report! Let me add to your thoughts something... its true the 737max and A321 Neo are very efficient planes even on these long-haul routes. But there is another important aspect for airlines on these long-haul routes and its: cargo. These planes will never able to carry that much cargo as a heavy, twin-aisle aircraft and that is why we can't say fully this is the future. Yes, we're gonna see more and more often these smaller planes on these routesbut they will never replace and fully cut out the bigger planes. Some airlines will always stick to the ""heavy"" planes because , cargo is a pretty big aspect and business also for PAX airlines.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","DATA SECURITY","DATA SECURITY","PRICE/QUALITY RATIO",75,"PuntuaciÃ³n=75","si","POSITIVE","no","Aviation & Aerospace."
"I think there is another MAX flight that is as long as this one. That is CM382 (PTY to SFO).  I have flown on this, both in Business Class and as well Economy. It is pretty comfortable too!",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","ENVIRONMENTAL PROTOCOLS",80,"PuntuaciÃ³n=80","si","POSITIVE","no","Aviation & Aerospace."
"Excellent review David as usual! More business class flights would be greatâ€¦ thanks  - dankeâ€¦!!!",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","DATA SECURITY","DATA SECURITY","CUSTOMER MANAGEMENT (VALUE)",90,"PuntuaciÃ³n=90","si","POSITIVE","no","Aviation & Aerospace."
"No lie-flat seats in Business class on a transatlantic flight? A big NO-GO for me.",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","SUPPLIERS PERFORMANCE (QUALITY)",20,"PuntuaciÃ³n=20","si","NEGATIVE","no","Aviation & Aerospace."
"I feel like you need to do a business/ premium brutally honest series especially post Covid now that there has been lots of time to reintroduce premium service and there are a few new options

Also now that euros are the same as dollars thatâ€™s very cheap",25-09-2022 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER WELFARE","CUSTOMER WELFARE","CUSTOMER MANAGEMENT (QUALITY)",75,"PuntuaciÃ³n=75","si","POSITIVE","no","Aviation & Aerospace."
"5:33, Flap sound. You will hear the flap sound on Boeing 737 family after testing the flight control of the plane, before landing and after landing, the flap will retract.",13-03-2024 22:00,"Boeing","Youtube",3,"Illinois","Governance","Governance","Leadership and Governance","Leadership and Governance","COMPETITIVE BEHAVIOUR","COMPETITIVE BEHAVIOUR","ETHICAL PROTOCOLS",60,"PuntuaciÃ³n=60","si","NEUTRAL","no","Aviation & Aerospace."
"4:29 thatâ€™s likely because Fort Lauderdale and West Palm Beach airports also service the Miami area which takes some traffic away from Miami airport.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","ACCESS & AFFORDABILITY","ACCESS & AFFORDABILITY","CUSTOMER MANAGEMENT (QUALITY)",50,"PuntuaciÃ³n=50","si","NEUTRAL","no","Aviation & Aerospace."
"We flew Icelandair from Washington Dulles to KEF on a 767 and a few days later flew KEF to Stockholm on their 757 in premium. We had a very positive experience. The service was friendly and going through Customs at KEF was a breeze. Weâ€™d happily fly Icelandair again.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER WELFARE","CUSTOMER WELFARE","CUSTOMER MANAGEMENT (QUALITY)",90,"PuntuaciÃ³n=90","si","POSITIVE","no","Aviation & Aerospace."
"I flew from PDX to FRA via KEF with Iceland last October, and back in November. It was my first time making a trans-Atlantic flight. Really enjoyed it. Service on both legs of the flight was excellent and I was impressed with the efficiency of the customs process at KEF. Iceland have a partnership with Alaska Airlines, I was able to use my Alaska miles to pay for the flight. I'll definitely be considering Iceland Airlines again next time I go to Europe.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Environment","Environment","GHG EMISSIONS","GHG EMISSIONS","ENVIRONMENTAL PROTOCOLS",90,"PuntuaciÃ³n=90","si","POSITIVE","no","Aviation & Aerospace."
"Do A Trip Report On board Saudia New A321neo",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Governance","Governance","Leadership and Governance","Leadership and Governance","BUSINESS ETHICS","BUSINESS ETHICS","WHISTLEBLOWER LINE (ACCESS)",50,"PuntuaciÃ³n=50","si","NEUTRAL","no","Aviation & Aerospace."
"Speaking of new terminals, Nashville is going through a huge renovation with the brand new Concourse T, International arrivals Facility, Concourse D, and the midfield concourse C. Next to be rebuilt is concourse A which is scheduled for demolition next year.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","DATA SECURITY","DATA SECURITY","PRICE/QUALITY RATIO",75,"PuntuaciÃ³n=75","si","POSITIVE","no","Aviation & Aerospace."
"I live in Baltimore, Iceland air flies daily and that is something I would never consider. It's fine if you want to go to Iceland, but number one, websites market it is Business Class when in fact, it's nothing more than a premium economy seat. Number two it's a very short five hour flight from Baltimore to Iceland. It departs here at 7:30 PM gets there at ""5 AM local time""which is four hours ahead.  Basically in the middle of the night you then have to transfer over to get your connecting flight to London, Germany, or wherever.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","ENVIRONMENTAL PROTOCOLS",30,"PuntuaciÃ³n=30","si","NEGATIVE","no","Aviation & Aerospace."
"Big thanks for this review. Just in time for me as I am taking Keflavik - Vancouver flight with Icelandair in a month. Appreciate the fact I can see the latest service and comfort available on board. Additionally to my ticket I preordered the Three course Icelandic meal and a Falafel salad - will see how those turn out to be.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","DATA SECURITY","DATA SECURITY","QUALITY",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"Transiting Keflavik was WITH a fresh security check, long lines, no time to shop or eat. This is what we got a few years ago. The airport is an overcrowded mess with long foot walks. The 737 was less comfortable than the 767 and 757.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Governance","Governance","Leadership and Governance","Leadership and Governance","MANAGEMENT OF THE LEGAL AND REGULATORY ENVIRONMENT","MANAGEMENT OF THE LEGAL AND REGULATORY ENVIRONMENT","WHISTLEBLOWER LINE (ACCESS)",25,"PuntuaciÃ³n=25","si","NEGATIVE","no","Aviation & Aerospace."
"JetBlue is actually a Hybrid Service Carrier (HSC), similar to Air Premia in South Korea, since they offer full amenties and free meals, like on Full Service Airlines (FSA), but offer Low Fares, similar to airfares on Low Cost Carriers (LCC).",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","CUSTOMER MANAGEMENT (QUALITY)",70,"PuntuaciÃ³n=70","si","POSITIVE","no","Aviation & Aerospace."
"0:12, 3 and a half weeks ago, I flew Cebu Pacific, Airbus A330-900neo from Manila to Sydney, flight is 90% full, flight is good and okay, 7 and a half hours, I pre order a meal, called beef abodo with rice that comes with small bottle of water, it taste good and okay, but the cabin is a little warm and dry on a 7 and a half hour flight to Sydney because there is no air vent and the legroom is bad and tight, 29 to 30 inches, I felt almost quite uncomfortable, but I am okay.",24-08-2024 10:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Environment","Environment","GHG EMISSIONS","GHG EMISSIONS","ENVIRONMENTAL PROTOCOLS",60,"PuntuaciÃ³n=60","si","NEUTRAL","no","Aviation & Aerospace."
"As a Chinese who often flies Air China, I hope I can answer some of the questions in your video. First of all, itâ€™s about Air Chinaâ€™s pillows. Generally speaking, pillows departing from the home port (for Air China, itâ€™s PEK) are definitely clean. But their flights are usually same-day round-trips, so they wonâ€™t get a brand new pillow in Korea. That's why you see dirty pillows on the flight back to Beijing from South Korea. Secondly, many airports in China promote energy conservation, so their air conditioning is very limited, especially at night when no one is around, which is why you feel cold in winter. Finally, a big reason why connecting flights from China to Europe is cheaper is the cost savings due to access to Russian airspace.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Environment","Environment","AIR QUALITY","AIR QUALITY","ENVIRONMENTAL PROTOCOLS",60,"PuntuaciÃ³n=60","si","NEUTRAL","no","Aviation & Aerospace."
"Hey David, as a frequent traveler in China, I'd like to answer some of the oddities you've encountered in your trip. 

First of all, I am impressed that Air China even offered a hot meal service ICN-PEK. Chinese airlines are hand-stripped by a rule imposed by the CAAC (Civil Aviation Administration of China) that strictly prohibits any cabin service 20 minutes after takeoff and 30 mins before landing. This leads to many of the shorter routes (usually less than 1.5h) operated by Chinese airlines has basically no service other than handing out a bottled water, international or domestic. For instance, I've flown China Southern on Seoul/ICN - Yantai/YNT, a route comparable to ICN-PEK, and I got nothing but a water and a bag of cookies. By contrast, the same route operated by Korean Air has full hot meal service and the flight attendants still have time to sell duty free. 

This also partly explains why cabin lights in your flight to Vienna was turned on very early. The crews just want the cabin cleared way before the 30-minutes requirement. Chinese pilots also has some odd behaviors, such as they never actually use the seat belt sign to indicate whether or not you should leave the seat and use the lavatory -- they just keep it on at all times.

Overhead screens are still common, but it is reported that some Chinese airlines are neglecting it in newer orders. They are quite funny, actually. I've been on plenty 4 to 5 hours-long domestic flights where overhead screens are the only entertainment, and flight attendants will actually hand out free earphones for you to tune in to those ""radio"" stations in your armrest. The big three carriers in China will always offer you a hot meal (if the flight is on meal time and it's longer than 1.5h) and 20kg of checked baggage, but unless you are flying a widebody, there's no personal IFE. No hot meal service if not on meal time -- this applies to domestic and international flights operated by the big three airlines. There's hardly any Wifi, but I'm cool with that anyways. Part of the reason why I prefer traveling by air over high-speed rail, is that there's no moron blasting TikTok on loudspeakers next to you.

For airports in Beijing, since the new Daxing (PKX) opens, it siphons plenty of traffic from PEK. As it turns out, Beijing just never really have enough international passengers (at least for this moment) to support two huge airports. Also, part of international flights departs from PEK's Terminal 2, that takes away more passengers from T3 to keep all the shops from running overnight.

PEK's T3 is infamous for being too cold during winter and too hot during summer. T3's building has very high celling and huge glass wall -- as shown in the video. This makes it easy for heat to get trapped in like a greenhouse, as well as for heat to escape during winter. So, basically, PEK's T3 just sucks at HVAC. 

Getting in airline lounges through Priority Pass may not be possible in the future. During Covid, many China Southern lounges across the country also allows PP holders to get in, but they stopped cooperation in early 2024. China Eastern lounges in PVG also never allows PP holders. But you can get in them if you have a credit card that has Plaza Premium access. This certainly makes me think PP access to Air China lounges may not last long, too.

Pressed vegetables are something that I particulate enjoy when flying Chinese airlines. Many in China prefers a saltier meal, so pressed vegetables are a good way to condition your dish. That's why no matter how mediocre the meal service is, there is always some kind of pressed or pickled vegetables. This is exactly how airlines should adapt to local taste. Even Delta and American provide chili sauce -- something to add flavor -- to their flight to Beijing, at least before Covid. 

Air China is the flag carrier of the People's Republic of China, but as seen in the video, some of its fleet has it's Chinese flag covered. These are planes that are flying to Taiwan. The bilateral treaty for civil aviation between Beijing and Taipei bans planes from flying the PRC's flag nor Taiwan (ROC)'s flag across the strait. China Airlines used to fly with ROC's flag on, but they changed all exterior design so it won't matter anyways; while Air China use part of its fleet that has the PRC flag covered to fly to Taiwan. It is said that Air China used to have one-third of its fleet with PRC flag covered.

Although Air China, China Eastern, and China Southern are all state-owned, this doesn't means competition don't exist. The last mainland Chinese airline videos on this channel are well before Covid, and they all changed quite a bit during the pandemic. China Southern implemented the most cost-cutting measures during Covid, made adjustments that caused the Chinese aviation geeks furious, while China Eastern crashed a plane but has been improving their service. You should try all these big airlines if you have time -- it's now visa free for many European citizens to get into China.

It should also be pointed out that airports in China can be quite different. Transiting in Beijing Capital (PEK) and Shanghai Pudong (PVG) just sucks. It's certainly better than some of the other airports that I've seen, but quite commonly I find myself helping some random foreigner in the terminal through the process or get a VPN that actually works. While Beijing Daxing (PKX) is much better -- they have policies that requires airport shops to sell at the same price as it is in downtown Beijing, and free transit resting areas, etc. I would recommend business travelers to avoid transiting in mainland China, unless the layover is short enough.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Environment","Environment","GHG EMISSIONS","GHG EMISSIONS","ENVIRONMENTAL PROTOCOLS",70,"PuntuaciÃ³n=70","si","POSITIVE","no","Aviation & Aerospace."
"Air China is the least quality of Chinaâ€™s â€œbig threeâ€. But theyâ€™re doing better I think, though Iâ€™d love to see brutally honest about for example China Southern, transitting Beijing Daxing or Guangzhou etc.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","DATA SECURITY","DATA SECURITY","PRICE/QUALITY RATIO",55,"PuntuaciÃ³n=55","si","NEUTRAL","no","Aviation & Aerospace."
"As a frequent United flyer, I would have zero complaints on air China",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PAYMENT (MARKET)",90,"PuntuaciÃ³n=90","si","POSITIVE","no","Aviation & Aerospace."
"the safety announcement in Chinese make me cry cause I miss my grandparents",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social Internal","Social Internal","Human Capital","Human Capital","EMPLOYEE HEALTH & SAFETY","EMPLOYEE HEALTH & SAFETY","MISSION",75,"PuntuaciÃ³n=75","si","POSITIVE","no","Aviation & Aerospace."
"Had the  of flying CAAC in 1988 to HK to Guilin. As I was young, I did not realize that was close to the end for the CAAC incarnation. At that time the 737-200s they were flying were built in 1983 and were fairly new. Overshot altitude on departure (apparent training flight with passengers) and had an altitude drop for several uncomfortable seconds. Return flight was extremely smooth. Got little CAAC wings with every flight  in a fancy plastic case. Weâ€™re considered bravery medals for the flight in. CAAC was mocked a bit in HK at the time, but they werenâ€™t too bad.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Environmental","Environmental","Human Capital","Human Capital","LABOR PRACTICES","LABOR PRACTICES","ENVIRONMENTAL ACTIONS",65,"PuntuaciÃ³n=65","si","NEGATIVE","no","Aviation & Aerospace."
"I flew 4 Air China flights this year, I can honestly say I was impressed by the service on the plane, I met some very friendly crew. The problem I had with them was in actual China on the ground as not many of their ground staff know English that well which can be a pain in the ass when you have a cancelled flight like I do. Another thing I noticed was the pilots really try to make the flight as smooth as possible, when you hit turbulence they slow the plane down and try to change altitude.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social Internal","Social Internal","Human Capital","Human Capital","EMPLOYEE HEALTH & SAFETY","EMPLOYEE HEALTH & SAFETY","TRAINING",75,"PuntuaciÃ³n=75","si","POSITIVE","no","Aviation & Aerospace."
"I, as a SkyTeam Alliance frequent flyer, Star Alliance Air China is definitely an improved airline. I have no complains about it whatsoever. Crew is nice, my sister, who does not speak Mandarin like me, feels that the crew were quite supportive. She also felt for the price, the airline is better than the competition (specifically Cathay Pacific, and British Airways). Her flight from SVO-PEK (CA910, onboard of a 777-300ER), PEK-JFK (onboard of a 747-8), the flight itself only costed â‚¬675 1-way. Very cheap and quality wise is great!",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",90,"PuntuaciÃ³n=90","si","POSITIVE","no","Aviation & Aerospace."
"Air China is actually a great airline. Took a flight with them in March, for 380EUR return to Taipei from Milan. Cannot wish better experience for that money. I had the best sleep on planes ever in their A350. The only issue is their very outdated website and not the best quality of food on from MXP. PEK airport is quite  modern, but in my cause it took about 70 minutes to make all the transit formalities.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","PRICE/QUALITY RATIO",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"a barista coffee machine as self-service?!? my dream",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","CUSTOMER MANAGEMENT (QUALITY)",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"Took the A350 from Vienna to Bejing a week ago. I really liked it. Food was good, staff was friendly and the toilets werde always clean. They checked after almost every visitor. I guess because some Chinese still squat on the toilet with their feet and everything gets dirty. I was unlucky to experience that. But they quickly cleaned it. Having clean toilets up until the end was something new to me. I travel to China frequently and I am pretty sure I will take them again. The price and the not having to avoid Russian air space plus are unbeatable.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social Internal","Social Internal","Human Capital","Human Capital","EMPLOYEE HEALTH & SAFETY","EMPLOYEE HEALTH & SAFETY","TRAINING",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"I took CX393 from PEK to HKG on 1 Apr. The departure time was 18:40 and I pass through security check 2 hrs before departure time. The only shops opening were duty free and some restaurants in the restricted area. I was shocked to see that as it was evening and there are still many flights for departure.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Governance","Governance","Leadership and Governance","Leadership and Governance","MANAGEMENT OF THE LEGAL AND REGULATORY ENVIRONMENT","MANAGEMENT OF THE LEGAL AND REGULATORY ENVIRONMENT","ANTI-CORRUPTION",45,"PuntuaciÃ³n=45","si","NEUTRAL","no","Aviation & Aerospace."
"That straw was likely for the yogurt.ðŸ˜Š

T3 was pretty chilling when I transferres through it in Dec 2019.  The terminal is huge and weather could be cold, and it is amazing they didn't put this into consideration when building it?  Hope they could make improvements.  The infrastructure was nice when I visjted, but services from airport staff and immigration were inconsistent.  

One of the airport staff literally screamed at us passengers to tell us to queue a certain way (louder doesn't make it easier to be understood ðŸ˜…), and an immigration officer telling us anyone less than 12 hours transit time will not be processed for their visa free entry which almost killed me coz I picked a 7 hour layover to dl a quick visit in the city.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social Internal","Social Internal","Human Capital","Human Capital","EMPLOYEE ENGAGEMENT, DIVERSITY & INCLUSION","EMPLOYEE ENGAGEMENT, DIVERSITY & INCLUSION","DIVERSITY",45,"PuntuaciÃ³n=45","si","NEUTRAL","no","Aviation & Aerospace."
"Hiya, Good video, and good honest comments. I have just flown with China eastern London to Bangkok Via Shanghai on there 777. All flights were good and comfortable, staff, food was good as well. I would say they where just as good as Emirates, Qatar, and Eithiad.  The reason I chose CE was the ticket cost. so much cheaper than the 3 above. I would fly with them again if the ticket price was good. Thank you for your effort and time for the video.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social Internal","Social Internal","Human Capital","Human Capital","EMPLOYEE HEALTH & SAFETY","EMPLOYEE HEALTH & SAFETY","DIVERSITY",85,"PuntuaciÃ³n=85","si","POSITIVE","no","Aviation & Aerospace."
"Comparing this to your a330 air china flight makes this a350 flight look like Emirates quality",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER PRIVACY","CUSTOMER PRIVACY","CUSTOMER MANAGEMENT (QUALITY)",40,"PuntuaciÃ³n=40","si","NEUTRAL","no","Aviation & Aerospace."
"Does Air China's A350-900 offer Wi-fi on board? I don't expect it to be for free, but at least I need to know whether it is available or not.
Thanks!!!!",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Governance","Governance","Leadership and Governance","Leadership and Governance","MANAGEMENT OF THE LEGAL AND REGULATORY ENVIRONMENT","MANAGEMENT OF THE LEGAL AND REGULATORY ENVIRONMENT","ANTI-CORRUPTION",60,"PuntuaciÃ³n=60","si","NEUTRAL","no","Aviation & Aerospace."
"Nice to watch. I think Chinese airports are still suffering from largely reduced international traffic comparing to pre pandemic. Therefore services and commercials are not resumed very well. Such as a full service bar is now self-service. Even though, it doesnâ€™t justify the low temperature in terminal.",06-04-2024 11:30,"Boeing","Youtube",3,"Illinois","Social External","Social External","Social Capital","Social Capital","CUSTOMER WELFARE","CUSTOMER WELFARE","CUSTOMER MANAGEMENT (QUALITY)",45,"PuntuaciÃ³n=45","si","NEUTRAL","no","Aviation & Aerospace."
